ID_GRUPO,ID_FECHA_GRUPO,ID_HORA_INICIO,ID_HORA_FIN,ID_CURSO_ACADEMICO,ID_ASIGNATURA,ID_TIPO_DOCENCIA,ID_COD_GRUPO,ID_PERIODO_DOCENTE,IND_ALUMNOS_GRUPO_PREV,IND_ALUMNOS_GRUPO_REAL,IND_HORAS_PREVISTAS
2024-0-115-102761-54-410,2025-05-29,1230,1430,2024,102761,54,410,1,0,28,50.0
2024-0-115-102785-54-442,2025-05-29,1030,1130,2024,102785,54,442,1,38,38,12.0
2024-0-115-102745-54-418,2025-05-28,1600,1700,2024,102745,54,418,1,35,30,12.0
2024-0-115-106932-54-612,2025-05-28,1230,1430,2024,106932,54,612,1,28,32,24.0
2024-0-115-102775-55-416,2025-05-28,830,1030,2024,102775,55,416,1,21,16,12.0
2024-0-115-102746-55-420,2025-05-28,830,1030,2024,102746,55,420,1,21,16,12.0
2024-0-115-102738-54-321,2025-05-28,1330,1430,2024,102738,54,321,1,49,68,12.0
2024-0-115-102775-55-417,2025-05-28,1030,1230,2024,102775,55,417,1,21,16,12.0
2024-0-115-106047-54-211,2025-05-28,1330,1430,2024,106047,54,211,1,36,42,23.0
2024-0-115-104338-54-81,2025-05-28,1030,1230,2024,104338,54,81,1,37,32,49.5
2024-0-115-102710-1-330,2025-05-28,930,1130,2024,102710,1,330,1,44,58,26.0
2024-0-115-102696-1-330,2025-05-28,1230,1330,2024,102696,1,330,1,55,66,39.0
2024-0-115-101770-56-12,2025-05-28,1900,2100,2024,101770,56,12,1,19,13,4.0
2024-0-115-103800-1-51,2025-05-28,1500,1700,2024,103800,1,51,1,0,52,30.0
2024-0-115-102738-1-320,2025-05-28,1130,1330,2024,102738,1,320,1,49,68,26.0
2024-0-115-102690-54-312,2025-05-28,930,1030,2024,102690,54,312,1,53,61,15.0
2024-0-115-102764-54-451,2025-05-28,1700,1900,2024,102764,54,451,1,37,39,50.0
2024-0-115-106043-1-21,2025-05-28,1030,1130,2024,106043,1,21,1,101,99,45.0
2024-0-115-103813-54-212,2025-05-28,1330,1430,2024,103813,54,212,1,43,46,15.0
2024-0-115-102696-54-332,2025-05-28,1330,1430,2024,102696,54,332,1,25,21,18.0
